    0.025    13.403         3
    0.075    12.226    3.0789
    0.125    9.1807    3.1579
    0.175    15.169    3.2368
    0.225    11.563    3.3158
    0.275    9.2735    3.3947
    0.325     28.92    3.4737
    0.375    81.492    3.5526
    0.425    169.36    3.6316
    0.475    155.45    3.7105
    0.525    64.403    3.7895
    0.575    35.777    3.8684
    0.625    27.821    3.9474
    0.675     10.87    4.0263
    0.725    13.082    4.1053
    0.775    12.825    4.1842
    0.825    8.9056    4.2632
    0.875    14.658    4.3421
    0.925    2.2897    4.4211
    0.975    9.3786       4.5
