    0.025    9.6044       0.2
    0.075    9.8619   0.21053
    0.125    9.9533   0.22105
    0.175    9.9935   0.23158
    0.225    9.6036   0.24211
    0.275    9.0458   0.25263
    0.325    9.3411   0.26316
    0.375    8.9516   0.27368
    0.425    9.5627   0.28421
    0.475    9.5922   0.29474
    0.525    9.1058   0.30526
    0.575    8.7503   0.31579
    0.625    9.0637   0.32632
    0.675    9.3317   0.33684
    0.725    9.1653   0.34737
    0.775     8.559   0.35789
    0.825    9.4503   0.36842
    0.875    8.5512   0.37895
    0.925    8.8313   0.38947
    0.975    8.5662       0.4
