    0.025  0.023102    0.0207
    0.075 0.0063573  0.021965
    0.125  0.016927   0.02323
    0.175  0.025277  0.024496
    0.225  0.032055  0.025761
    0.275 -0.0016635  0.027026
    0.325   0.09433  0.028291
    0.375  0.030038  0.029557
    0.425   0.06006  0.030822
    0.475  0.053949  0.032087
    0.525  0.017476  0.033352
    0.575  0.042957  0.034617
    0.625 -0.0015178  0.035883
    0.675  0.016859  0.037148
    0.725   0.13075  0.038413
    0.775  0.099392  0.039678
    0.825  0.075301  0.040943
    0.875   0.13906  0.042209
    0.925   0.16801  0.043474
    0.975   0.27208  0.044739
    1.025   0.36749  0.046004
    1.075    0.4084   0.04727
    1.125   0.60746  0.048535
    1.175   0.83541    0.0498
